epoch,accuracy,loss,val_accuracy,val_loss
0,0.37780237197875977,1.3273210525512695,0.44092220067977905,1.2760534286499023
1,0.6410185694694519,0.9967432618141174,0.6743515729904175,0.8979394435882568
2,0.7932466268539429,0.5887388586997986,0.7233429551124573,0.8016242384910583
3,0.8469415903091431,0.41093966364860535,0.7002881765365601,0.8116782903671265
4,0.8879047632217407,0.3224281966686249,0.6916426420211792,0.817963182926178
5,0.9125380516052246,0.2629377841949463,0.6916426420211792,0.8754608631134033
6,0.9316357374191284,0.2085975706577301,0.680115282535553,0.9214783310890198
7,0.9449211359024048,0.1734611541032791,0.680115282535553,1.0305356979370117
8,0.9554386734962463,0.14976376295089722,0.6858789920806885,1.0781872272491455
9,0.9620813727378845,0.1273956000804901,0.6772334575653076,1.1218539476394653
10,0.9667866230010986,0.11762010306119919,0.6772334575653076,1.1519496440887451
11,0.9692776203155518,0.10821554809808731,0.6829971075057983,1.198872685432434
12,0.9701079726219177,0.09784708172082901,0.6657060384750366,1.2664220333099365
13,0.975089967250824,0.08539444953203201,0.6628242135047913,1.324121356010437
14,0.973706066608429,0.08955380320549011,0.6829971075057983,1.2787129878997803
15,0.973429262638092,0.0817926898598671,0.6628242135047913,1.3347605466842651
16,0.9767506122589111,0.07794071733951569,0.6599423885345459,1.3917286396026611
17,0.9759202599525452,0.07414699345827103,0.6685879230499268,1.4087884426116943
18,0.9786880612373352,0.0712539479136467,0.6628242135047913,1.4423555135726929
19,0.9789648652076721,0.06170542910695076,0.651296854019165,1.4996594190597534
20,0.9795184135437012,0.06163433566689491,0.6714697480201721,1.4834026098251343
21,0.9759202599525452,0.06721244007349014,0.680115282535553,1.521803617477417
22,0.9775809645652771,0.06253203749656677,0.6628242135047913,1.5306109189987183
23,0.9789648652076721,0.05914014205336571,0.6887608170509338,1.51347815990448
24,0.9795184135437012,0.05938243120908737,0.6657060384750366,1.5291566848754883
